STATEFIPS,STATE,zipcode,agi_stub,N02650,A02650
1,AL,35501,1,1940,26052
1,AL,35501,2,940,33647
1,AL,35501,3,450,28024
1,AL,35501,4,260,22691
1,AL,35501,5,210,26976
1,AL,35501,6,30,10662
1,AL,35503,1,1450,18939
1,AL,35503,2,820,29746
1,AL,35503,3,460,28708
1,AL,35503,4,280,24067
1,AL,35503,5,290,36501
1,AL,35503,6,40,16826
1,AL,35504,1,1870,23739
1,AL,35504,2,1120,41237
1,AL,35504,3,710,44084
1,AL,35504,4,550,48414
1,AL,35504,5,640,83850
1,AL,35504,6,150,64692
1,AL,35540,1,430,5412
1,AL,35540,2,230,8480
1,AL,35540,3,160,10188
1,AL,35540,4,60,5282
1,AL,35540,5,50,6380
1,AL,35540,6,0,0
1,AL,35541,1,480,6190
1,AL,35541,2,330,12171
1,AL,35541,3,160,10222
1,AL,35541,4,110,9627
1,AL,35541,5,130,17298
1,AL,35541,6,30,10817
1,AL,35542,1,190,2581
1,AL,35542,2,120,4268
1,AL,35542,3,50,3077
1,AL,35542,4,50,4048
1,AL,35542,5,30,4348
1,AL,35542,6,0,0
1,AL,35543,1,200,2712
1,AL,35543,2,90,3412
1,AL,35543,3,50,3086
1,AL,35543,4,30,2986
1,AL,35543,5,0,0
1,AL,35543,6,0,0
